Symbol,Security Name,Industry
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMA
ASTRAL,Astral Ltd.,INDUSTRIAL MANUFACTURING
ATUL,Atul Ltd.,CHEMICALS
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA
DMART,Avenue Supermarts Ltd.,CONSUMER SERVICES
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES
BASF,BASF India Ltd.,CHEMICALS
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING
BSE,BSE Ltd.,FINANCIAL SERVICES
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE
BAJAJCON,Bajaj Con sumer Care Ltd.,CONSUMER GOODS
BAJAJELEC,Bajaj  Electricals Ltd,CONSUMER GOODS
BAJFlNANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFlNSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES
BALAMINES,Balaji Amines Ltd.,CHEMICALS
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES
BANKINDIA,Bank oflndia,FINANCIAL SERVICES
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES
BATAINDIA,Bata India Ltd.,CONSUMER GOODS
BAYERCROP,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
BPCL,Bharat Petroleum Corporation  Ltd.,OIL & GAS
BHARATRAS,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES
BHARTIARTL,Bharti Airtel Ltd.,TELECOM
BIOCON,Biocon Ltd.,PHARMA
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS
BSOFT,Birlasoft Ltd.,IT
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA
BLUEDART,Blue Dart Express Ltd.,SERVICES
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS
BOSCHLTD,Bosch Ltd.,AUTOMOBILE
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS
BURGERKING,Burger King India Ltd.,CONSUMER SERVICES
CCL,CCL Products (I) Ltd.,CONSUMER GOODS
CESC,CESC Ltd.,POWER
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES
CSBBANK,CSB Bank Ltd.,FINANCIAL SERVICES
CADILAHC,Cadila Healthcare Ltd.,PHARMA
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES
CANBK,Canara Bank,FINANCIAL SERVICES
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA
CASTROLIND,Castro! India Ltd.,OIL & GAS
CEATLTD,Ceat Ltd.,AUTOMOBILE
CENTRALBK,Central Bank of India,FINANCIAL SERVICES
CDSL,Central Depository Services (Tndia) Ltd.,FINANCIAL SERVICES
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS
CENTURYTEX,Century Textile & Industries Ltd.,PAPER AND JUTE
CERA,Cera Sanitaryware Ltd,CONSUMER GOODS
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES
CIPLA,Cipla Ltd.,PHARMA
CUB,City Union Bank Ltd.,FINANCIAL SERVICES
COALINDIA,Coal India Ltd.,METALS
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING
COFORGE,Coforge Ltd.,IT
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS
CAMS,Computer Age Management Services Ltd.,FINANCIAL SERVICES
CONCOR,Container Corporation  of India Ltd.,SERVICES
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING
CYIENT,Cyient Ltd.,IT
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS
DLF,DLF Ltd.,CONSTRUCTION
DABUR,Dabur India Ltd.,CONSUMER GOODS
DALBHARAT,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS
DELTACORP,Delta Corp Ltd.,CONSUMER SERVICES
DHANI,Dhani Services Ltd.,FINANCIAL SERVICES
DHANUKA,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES
DBL,Dilip Buildcon Ltd.,CONSTRUCTION
DISHTV,Dish TV India Ltd.,"MEDIA, ENTERTAINMENT &
PUBLICATION"
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA
DIVISLAB,Divi's Laboratories Ltd.,PHARMA
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA
EIDPARRY,E.I.D. Parry (India) Ltd.,CONSUMER GOODS
EIHOTEL,EIH Ltd.,CONSUMER SERVICES
EPL,EPL Ltd.,INDUSTRIAL MANUFACTURING
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING
EMAMILTD,Emami Ltd.,CONSUMER GOODS
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES
ERIS,Eris Lifesciences Ltd.,PHARMA
ESCORTS,Escorts Ltd.,AUTOMOBILE
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE
FDC,FDC Ltd.,PHARMA
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES
FINEORG,Fine Organic Industries Ltd.,CHEMICALS
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING
FSL,Firstsource Solution s Ltd.,IT
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES
FCONSUMER,Future Consumer Ltd.,CONSUMER SERVICES
FRETAIL,Future Retail Ltd.,CONSUMER SERVICES
GAIL,GAIL (India) Ltd.,OIL & GAS
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING
GMMPFAUDLR,GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION
GALAXYSURF,Galaxy Surfactants Ltd.,CHEMICALS
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING
GARFIBRES,Garware Technical Fibres Ltd.,TEXTILES
GICRE,General Insurance Corporation  of India,FINANCIAL SERVICES
GILLETTE,Gillette India Ltd.,CONSUMER GOODS
GLAND,Gland Pharma Ltd.,PHARMA
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION
GRANULES,Granules India Ltd.,PHARMA
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING
GRINDWELL,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS
GAEL,Gujarat Ambuja Exports Ltd.,CONSUMER GOODS
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,CHEMICALS
GUJGASLTD,Gujarat Gas Ltd.,OIL & GAS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS
GPPL,Gujarat Pipavav Port Ltd.,SERVICES
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
GSPL,Gujarat State Petrone! Ltd.,OIL & GAS
GULFOILLUB,Gulf Oil Lubricants India Ltd.,OIL & GAS
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING
HCLTECH,HCL Technologies Ltd.,IT
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES
HFCL,HFCL Ltd.,TELECOM
HAPPSTMNDS,Happiest Minds Technologies Ltd.,IT
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS
HAVELLS,Havells India Ltd.,CONSUMER GOODS
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS
HEMIPROP,Hemisphere Properties India Ltd.,CONSTRUCTION
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS
HINDALCO,Hindalco Industries Ltd.,METALS
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING
HINDCOPPER,Hindustan Copper Ltd.,METALS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,OIL & GAS
HINDUNILVR,Hindu stan Unilever Ltd.,CONSUMER GOODS
HINDZINC,Hindu stan Zinc Ltd.,METALS
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES
HUHTAMAKI,Huhtamaki India Ltd.,INDUSTRIAL MANUFACTURING
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES
ISEC,ICICI Securities Ltd.,FINANCIAL SERVICES
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES
IDFC,IDFC Ltd.,FINANCIAL SERVICES
IFBIND,IFB Industries Ltd.,CONSUMER GOODS
IIFL,IIFL Finance Ltd.,FINANCIAL SERVICES
IIFLWAM,IIFL Wealth Management Ltd.,FINANCIAL SERVICES
IOLCP,IOL Chem and Pharma Ltd.,PHARMA
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION
IRCON,IRCON International Ltd.,CONSTRUCTION
ITC,ITC Ltd.,CONSUMER GOODS
ITI,ITI Ltd.,TELECOM
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION
INDIAMART,Indiamart Intermesh Ltd.,CONSUMER SERVICES
INDIANB,Indian Bank,FINANCIAL SERVICES
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES
INDHOTEL,Indian Hotels Co. Ltd.,CONSUMER SERVICES
roe,Indian Oil Corporation Ltd.,OIL & GAS
IOB,Indian Overseas Bank,FINANCIAL SERVICES
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,SERVICES
ICIL,Indo Count Industries Ltd.,TEXTILES
INDOCO,Indoco Remedies Ltd.,PHARMA
IGL,Indraprastha Gas Ltd.,OIL & GAS
INDUSTOWER,Indu s Towers Ltd.,TELECOM
INDUSINDBK,Indu sind Bank Ltd.,FINANCIAL SERVICES
INFIBEAM,Infibeam Avenues Ltd.,IT
NAUKRI,Info Edge (India) Ltd.,CONSUMER SERVICES
INFY,Infosys Ltd.,IT
INGERRAND,Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING
INOXLEISUR,Inox Leisure Ltd.,"MEDIA, ENTERTAINMENT &
PUBLICATION"
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS
JKPAPER,JK Paper Ltd.,PAPER AND JUTE
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES
JSWENERGY,JSW Energy Ltd.,POWER
JSWSTEEL,JSW Steel Ltd.,METALS
JTEKTINDIA,JTEKT India Ltd.,AUTOMOBILE
JAMNAAUTO,Jamna Auto Industries Ltd.,AUTOMOBILE
JINDALSAW,Jindal Saw Ltd.,METALS
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS
JSL,Jindal Stainless Ltd.,METALS
JINDALSTEL,Jindal Steel & Power Ltd.,METALS
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER SERVICES
JUSTDIAL,Justdial Ltd.,CONSUMER SERVICES
JYOTHYLAB,Jyothy Labs Ltd.,CONSUMER GOODS
KPRMILL,K.P.R. Mill Ltd.,TEXTILES
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING
KNRCON,KNR Constructions Ltd.,CONSTRUCTION
KPITTECH,KPIT Technologies Ltd.,IT
KRBL,KRBL Ltd.,CONSUMER GOODS
KSB,KSB Ltd.,INDUSTRIAL MANUFACTURING
KAJARIACER,Kajaria Ceramics Ltd.,CONSUMER GOODS
KALPATPOWR,Kalpataru Power Transmission Ltd.,POWER
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS
KEC,Kee International Ltd.,POWER
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES
LITS,L&T Technology Services Ltd.,IT
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES
LAOPALA,La Opala RG Ltd.,CONSUMER GOODS
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING
LTI,Larsen & Toubro Infotech Ltd.,IT
LT,Larsen & Toubro Ltd.,CONSTRUCTION
LAURUSLABS,Laurus Labs Ltd.,PHARMA
LEMONTREE,Lemon Tree Hotels Ltd.,CONSUMER SERVICES
LINDEINDIA,Linde India Ltd.,CHEMICALS
LUPIN,Lupin Ltd.,PHARMA
LUXIND,Lux Industries Ltd.,TEXTILES
MASFlN,MAS Financial Services Ltd.,FINANCIAL SERVICES
MMTC,MMTC Ltd.,SERVICES
MOIL,MOIL Ltd.,METALS
MRF,MRF Ltd.,AUTOMOBILE
MGL,Mahanagar Gas Ltd.,OIL & GAS
MAHSCOOTER,Maharashtra Scooters Ltd.,FINANCIAL SERVICES
MAHSEAMLES,Maharashtra Seamless Ltd.,METALS
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE
MHRIL,Mahindra Holidays & Resorts India Ltd.,CONSUMER SERVICES
MAHLOG,Mahindra Logistics Ltd.,SERVICES
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES
MRPL,Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS
MARICO,Marico Ltd.,CONSUMER GOODS
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES
MAXHEALT H,Max Healthcare Institute Ltd.,HEALTHCARE SERVICES
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,INDUSTRIAL MANUFACTURING
METROPOLIS,Metropolis Healthcare Ltd.,HEALTHCARE SERVICES
MINDTREE,MindTree Ltd.,IT
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE
MINDAIND,Minda Industries Ltd.,AUTOMOBILE
MIDHANI,Mishra Dhatu Nigam Ltd.,METALS
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES
MPHASIS,MphasiS Ltd.,IT
MCX,Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES
NATCOPHARM,NATCO Pharma Ltd.,PHARMA
NBCC,NBCC (India) Ltd.,CONSTRUCTION
NCC,NCC Ltd.,CONSTRUCTION
NESCO,NESCO Ltd.,SERVICES
NHPC,NHPC Ltd.,POWER
NLCINDIA,NLC India Ltd.,POWER
NMDC,NMDC Ltd.,METALS
NOCIL,NOCIL Ltd.,CHEMICALS
NTPC,NTPC Ltd.,POWER
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES
NATIONALUM,National Aluminiwn Co. Ltd.,METALS
NFL,National Fertilizers Ltd.,FERTILISERS & PESTICIDES
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS
NETWORK18,Networkl8 Media & Investments Ltd.,"MEDIA, ENTERTAINMENT & PUBLICATION"
OIL,Oil India Ltd.,OIL & GAS
OFSS,Oracle Financial Services Software Ltd.,IT
ORIENTELEC,Orient Electric Ltd.,CONSUMER GOODS
ORIENTREF,Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES
PNCINFRA,PNC Infratech Ltd.,CONSTRUCTION
PVR,PVR Ltd.,"MEDIA, ENTERTAINMENT & PUBLICATION"
PAGEIND,Page Industries Ltd.,TEXTILES
PERSISTENT,Persistent Systems Ltd.,IT
PETRONET,Petrone! LNG Ltd.,OIL & GAS
PFIZER,Pfizer Ltd.,PHARMA
PHILIPCARB,Phillips Carbon Black Ltd.,CHEMICALS
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS
PEL,Piramal Enterprises Ltd.,FINANCIAL SERVICES
POLYMED,Poly Medicure Ltd.,HEALTHCARE SERVICES
POLYCAB,Polycab India Ltd.,INDUSTRIAL MANUFACTURING
POLYPLEX,Polyplex Corporation Ltd.,INDUSTRIAL MANUFACTURING
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES
POWERGRID,Power Grid Corporation  of India Ltd.,POWER
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION
PRlNCEPIPE,Prince Pipes and Fittings Ltd.,INDUSTRIAL MANUFACTURING
PRSMJOHNSN,Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS
PGHL,Procter & Gamble Health Ltd.,PHARMA
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS
PNB,Punjab National Bank,FINANCIAL SERVICES
QUESS,Quess Corp Ltd.,SERVICES
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES
RECLTD,REC Ltd.,FINANCIAL SERVICES
RlTES,RlTES Ltd.,SERVICES
RADICO,Radico Khaitan Ltd,CONSUMER GOODS
RVNL,Rail Vikas Nigam Ltd.,CONSTRUCTION
RAYMOND,Raymond Ltd.,TEXTILES
REDINGTON,Redington (India) Ltd.,SERVICES
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS
RELIANCE,Reliance Industries Ltd.,OIL & GAS
RESPONIND,Responsive Industries Ltd.,CONSUMER GOODS
ROSSARI,Rossari Biotech Ltd.,CHEMICALS
ROUTE,Route Mobile Ltd.,IT
SBICARD,SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES
SIS,SIS Ltd.,SERVICES
SJVN,SJVN Ltd.,POWER
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING
SRF,SRF Ltd.,CHEMICALS
SANOFI,Sanofi India Ltd.,PHARMA
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING
SCHNEIDER,Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING
SEQUENT,Sequent Scientific Ltd.,PHARMA
SHARDACROP,Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES
SFL,Sheela Foam Ltd.,CONSUMER GOODS
SHILPAMED,Shilpa Medicare Ltd.,PHARMA
SCI,Shipping Corporation oflndia Ltd.,SERVICES
SHOPERSTOP,Shoppers Stop Ltd.,CONSUMER SERVICES
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS
SHRIRAMCIT,Shriram City Union Finance Ltd.,FINANCIAL SERVICES
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING
SOBHA,Sobha Ltd.,CONSTRUCTION
SOLARINDS,Solar Industries India Ltd.,CHEMICALS
SOLARA,Solara Active Pharma Sciences Ltd.,PHARMA
SONATSOFfW,Sonata Software Ltd.,IT
SPANDANA,Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES
SPICEJET,Spicejet Ltd.,SERVICES
STARCEMENT,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS
SEIN,State Bank oflndia,FINANCIAL SERVICES
SAIL,Steel Authority oflndia Ltd.,METALS
SWSOLAR,Sterling And Wilson Solar Ltd.,CONSTRUCTION
STLTECH,Sterlite Technologies Ltd.,TELECOM
STAR,Strides Pharma Science Ltd.,PHARMA
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS
SUMICHEM,Sumitomo Chemical India Ltd.,FERTILISERS & PESTICIDES
SPARC,Sun Pharma Advanced Research Company Ltd.,PHARMA
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA
SUNTV,Sun TV Network Ltd.,"MEDIA, ENTERTAINMENT &
PUBLICATION"
SUNCLAYLTD,Sundaram Clayton Ltd.,AUTOMOBILE
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE
SUNTECK,Sunteck Realty Ltd.,CONSTRUCTION
SUPRAJIT,Suprajit Engineering Ltd.,AUTOMOBILE
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING
SUPPETRO,Supreme Petrochem Ltd.,CHEMICALS
SUVENPHAR,Suven Pharmaceuticals Ltd.,PHARMA
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING
SWANENERGY,Swan Energy Ltd.,TEXTILES
SYMPHONY,Symphony Ltd.,CONSUMER GOODS
SYNGENE,Syngene International Ltd.,HEALTHCARE SERVICES
TCIEXP,TCI Express Ltd.,SERVICES
TCNSBRANDS,TCNS Clothing Co. Ltd.,TEXTILES
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS
TV18BRDCST,TV18 Broadcast Ltd.,"MEDIA, ENTERTAINMENT &
PUBLICATION"
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE
TANLA,Tania Platforms Ltd.,IT
TASTYBITE,Tasty Bite Eatables Ltd.,CONSUMER GOODS
TATACHEM,Tata Chemicals Ltd.,CHEMICALS
TATACOFFEE,Tata Coffee Ltd.,CONSUMER GOODS
TATACOMM,Tata Communication s Ltd.,TELECOM
TCS,Tata Consultancy Services Ltd.,IT
TATACONSUM,Tata Consumer Products Ltd.,CONSUMER GOODS
TEAMLEASE,Teamlease Services Ltd.,SERVICES
TECHM,Tech Mahindra Ltd.,IT
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING
THYROCARE,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING
